ETRS89-LAEA;Lambert Azimuthal Equal Area, ref INSPIRE Requirement 5  EPSG 3035;73;3035
ETRS89-LCC;Lambert Conformal Conic basert på ETRS89,   EPSG 3034. ref INSPIRE Req 6. Brukes på pan-Europeiske data i små målestokker, opp til 1:500 000;74;3034
EUREF89 Geografisk;Ingen projeksjon. EPSG 4258 (bredde, lengde), EPSG 4937 (bredde, lengde, ellipsoidisk høyde). Ref: INSPIRE Req 1;84;4937
EUREF89 NTM Sone 10;Norsk Transversal Mercator sone 10 (basert på EUREF89)   EPSG 5110;210;5110
EUREF89 NTM Sone 11;Norsk Transversal Mercator sone 11 (basert på EUREF89)   EPSG 5111;211;5111
EUREF89 NTM Sone 12;Norsk Transversal Mercator sone 12 (basert på EUREF89)   EPSG 5112;212;5112
EUREF89 NTM Sone 14;Norsk Transversal Mercator sone 14 (basert på EUREF89)   EPSG 5114;214;5114
EUREF89 NTM Sone 15;Norsk Transversal Mercator sone 15 (basert på EUREF89)   EPSG 5115;215;5115
EUREF89 NTM Sone 16;Norsk Transversal Mercator sone 16 (basert på EUREF89)   EPSG 5116;216;5116
EUREF89 NTM Sone 17;Norsk Transversal Mercator sone 17 (basert på EUREF89)   EPSG 5117;217;5117
EUREF89 NTM Sone 18;Norsk Transversal Mercator sone 18 (basert på EUREF89)   EPSG 5118;218;5118
EUREF89 NTM Sone 19;Norsk Transversal Mercator sone 19 (basert på EUREF89)   EPSG 5119;219;5119
EUREF89 NTM Sone 20;Norsk Transversal Mercator sone 20 (basert på EUREF89)   EPSG 5120;220;5120
EUREF89 NTM Sone 21;Norsk Transversal Mercator sone 21 (basert på EUREF89)   EPSG 5121;221;5121
EUREF89 NTM Sone 22;Norsk Transversal Mercator sone 22 (basert på EUREF89)   EPSG 5122;222;5122
EUREF89 NTM Sone 23;Norsk Transversal Mercator sone 23 (basert på EUREF89)   EPSG 5123;223;5123
EUREF89 NTM Sone 24;Norsk Transversal Mercator sone 24 (basert på EUREF89)   EPSG 5124;224;5124
EUREF89 NTM Sone 25;Norsk Transversal Mercator sone 25 (basert på EUREF89)   EPSG 5125;225;5125
EUREF89 NTM Sone 26;Norsk Transversal Mercator sone 26 (basert på EUREF89)   EPSG 5126;226;5126
EUREF89 NTM Sone 27;Norsk Transversal Mercator sone 27 (basert på EUREF89)   EPSG 5127;227;5127
EUREF89 NTM Sone 28;Norsk Transversal Mercator sone 28 (basert på EUREF89)   EPSG 5128;228;5128
EUREF89 NTM Sone 29;Norsk Transversal Mercator sone 29 (basert på EUREF89)   EPSG 5129;229;5129
EUREF89 NTM Sone 30;Norsk Transversal Mercator sone 30 (basert på EUREF89)   EPSG 5130;230;5130
EUREF89 NTM Sone 5;Norsk Transversal Mercator sone 5 (basert på EUREF89)   EPSG 5105;205;5105
EUREF89 NTM Sone 6;Norsk Transversal Mercator sone 6 (basert på EUREF89)   EPSG 5106;206;5106
EUREF89 NTM Sone 7;Norsk Transversal Mercator sone 7 (basert på EUREF89)   EPSG 5107;207;5107
EUREF89 NTM Sone 8;Norsk Transversal Mercator sone 8 (basert på EUREF89)   EPSG 5108;208;5108
EUREF89 NTM Sone 9;Norsk Transversal Mercator sone 9 (basert på EUREF89)   EPSG 5109;209;5109
EUREF89 UTM Sone 29 2d;UTM sone 29,2d basert på EUREF89, 2d, EPSG 25829. Ref INSPIRE Req 7 (ETRS89-TM29);19;25829
EUREF89 UTM Sone 30 2d;UTM sone 30,2d basert på EUREF89, 2d, EPSG 25830. Ref INSPIRE Req 7 (ETRS89-TM30);20;25830
